-99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
16,0.001839271,0.001777471,0.001718956,0.001663489,0.001610853,0.001560852,0.001513307,0.001468055,0.001424944,0.001383839,0.001344612,0.001307147,0.001271337,0.001237082,0.001204292,0.001172882,0.001142772,0.001113891,0.00108617,0.001059546,0.001033961,0.00100936,0.000985692,0.000962909,0.000940966,0.000919822
17,0.001842503,0.001780624,0.001722033,0.001666493,0.001613788,0.00156372,0.001516112,0.001470798,0.001427629,0.001386467,0.001347186,0.001309669,0.001273808,0.001239505,0.001206668,0.001175212,0.001145059,0.001116136,0.001088374,0.00106171,0.001036087,0.001011449,0.000987745,0.000964926,0.00094295,0.000921772
18,0.001845763,0.001783804,0.001725136,0.001669523,0.001616747,0.001566612,0.001518939,0.001473563,0.001430335,0.001389116,0.001349779,0.001312209,0.001276297,0.001241945,0.001209061,0.001177559,0.001147361,0.001118395,0.001090592,0.001063888,0.001038226,0.00101355,0.00098981,0.000966956,0.000944945,0.000923734
19,0.001849052,0.001787011,0.001728265,0.001672577,0.00161973,0.001569527,0.001521788,0.00147635,0.001433061,0.001391784,0.001352391,0.001314767,0.001278804,0.001244402,0.001211469,0.001179921,0.001149679,0.001120669,0.001092824,0.00106608,0.001040379,0.001015665,0.000991887,0.000968998,0.000946952,0.000925708
20,0.00185237,0.001790246,0.001731421,0.001675657,0.001622737,0.001572465,0.00152466,0.001479157,0.001435807,0.001394471,0.001355022,0.001317344,0.001281328,0.001246876,0.001213894,0.001182299,0.001152011,0.001122958,0.00109507,0.001068285,0.001042544,0.001017792,0.000993977,0.000971052,0.000948971,0.000927693
21,0.001855716,0.001793508,0.001734602,0.001678762,0.001625768,0.001575426,0.001527553,0.001481986,0.001438574,0.001397179,0.001357673,0.001319939,0.00128387,0.001249366,0.001216336,0.001184693,0.001154359,0.001125261,0.001097331,0.001070505,0.001044723,0.001019932,0.00099608,0.000973118,0.000951002,0.000929689
22,0.001859091,0.001796797,0.00173781,0.001681891,0.001628824,0.00157841,0.001530469,0.001484836,0.001441362,0.001399906,0.001360342,0.001322552,0.00128643,0.001251874,0.001218794,0.001187103,0.001156723,0.00112758,0.001099606,0.001072738,0.001046916,0.001022085,0.000998195,0.000975196,0.000953044,0.000931697
23,0.001862495,0.001800114,0.001741044,0.001685046,0.001631903,0.001581417,0.001533407,0.001487708,0.001444169,0.001402652,0.00136303,0.001325184,0.001289007,0.001254399,0.001221268,0.001189528,0.001159101,0.001129913,0.001101895,0.001074984,0.001049121,0.001024251,0.001000322,0.000977286,0.000955098,0.000933715
24,0.001865927,0.001803458,0.001744304,0.001688226,0.001635007,0.001584447,0.001536367,0.001490601,0.001446998,0.001405419,0.001365737,0.001327834,0.001291602,0.001256941,0.001223758,0.00119197,0.001161495,0.001132261,0.001104198,0.001077245,0.00105134,0.00102643,0.001002462,0.000979388,0.000957164,0.000935746
25,0.001869387,0.001806829,0.001747591,0.001691431,0.001638134,0.0015875,0.001539349,0.001493515,0.001449847,0.001408205,0.001368463,0.001330502,0.001294214,0.001259499,0.001226265,0.001194427,0.001163904,0.001134623,0.001106516,0.001079519,0.001053573,0.001028622,0.001004614,0.000981503,0.000959241,0.000937787
