-99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,1014.407741,1014.402078,1014.381223,1014.345652,1014.295817,1014.23215,1014.15506,1014.064936,1013.962147,1013.847042,1013.719954,1013.581196,1013.431066,1013.269845,1013.097801,1012.915184,1012.722233,1012.519174,1012.30622,1012.083575,1011.851429,1011.609965,1011.359358,1011.099771,1010.831363,1010.554286
19,1015.213165,1015.204138,1015.180044,1015.141357,1015.088523,1015.02197,1014.942102,1014.849304,1014.743941,1014.626358,1014.496885,1014.35583,1014.203488,1014.040137,1013.86604,1013.681445,1013.486589,1013.281693,1013.066969,1012.842616,1012.608824,1012.365773,1012.113633,1011.852569,1011.582736,1011.304283
20,1016.018571,1016.006196,1015.978881,1015.937093,1015.881276,1015.811851,1015.72922,1015.633762,1015.525838,1015.405791,1015.273944,1015.130604,1014.976061,1014.81059,1014.634451,1014.447888,1014.251135,1014.044411,1013.827924,1013.601871,1013.366439,1013.121806,1012.86814,1012.605602,1012.334347,1012.054523
21,1016.823983,1016.808277,1016.777757,1016.732884,1016.674099,1016.601817,1016.516436,1016.418332,1016.307861,1016.185362,1016.051154,1015.90554,1015.748807,1015.581226,1015.403053,1015.214532,1015.01589,1014.807346,1014.589103,1014.361357,1014.124292,1013.878083,1013.622895,1013.35889,1013.086217,1012.805024
22,1017.629423,1017.610403,1017.576694,1017.528753,1017.467014,1017.39189,1017.303773,1017.203036,1017.090031,1016.965091,1016.828533,1016.680656,1016.521743,1016.352063,1016.171867,1015.981395,1015.780874,1015.570516,1015.350526,1015.121093,1014.882401,1014.634621,1014.377917,1014.112448,1013.838362,1013.555803
23,1018.434915,1018.412597,1018.375714,1018.324718,1018.26004,1018.182088,1018.09125,1017.987892,1017.872364,1017.744996,1017.6061,1017.455971,1017.294889,1017.123118,1016.940908,1016.748495,1016.546102,1016.333939,1016.112208,1015.881095,1015.640781,1015.391436,1015.133222,1014.866293,1014.590798,1014.306877
24,1019.240478,1019.214877,1019.174836,1019.120801,1019.053198,1018.972431,1018.878884,1018.772919,1018.65488,1018.525095,1018.383871,1018.231501,1018.06826,1017.894408,1017.710193,1017.515847,1017.31159,1017.097631,1016.874164,1016.641379,1016.399449,1016.148545,1015.888824,1015.62044,1015.343539,1015.05826
25,1020.046131,1020.017263,1019.974078,1019.917018,1019.846504,1019.762936,1019.666692,1019.558132,1019.437595,1019.305405,1019.161865,1019.007263,1018.841872,1018.66595,1018.479738,1018.283467,1018.077355,1017.861604,1017.636411,1017.401958,1017.158419,1016.90596,1016.644738,1016.374904,1016.0966,1015.809966
26,1020.851891,1020.819771,1020.773457,1020.713386,1020.639975,1020.553619,1020.454692,1020.343548,1020.220525,1020.08594,1019.940094,1019.783271,1019.61574,1019.437756,1019.249557,1019.051369,1018.843408,1018.625875,1018.398961,1018.162846,1017.917704,1017.663696,1017.400977,1017.129696,1016.849994,1016.562008
27,1021.657775,1021.622418,1021.572989,1021.509922,1021.433627,1021.344495,1021.242897,1021.129182,1021.003683,1020.866715,1020.718573,1020.559539,1020.389878,1020.20984,1020.019662,1019.819566,1019.609764,1019.390455,1019.161826,1018.924057,1018.677316,1018.421764,1018.157553,1017.88483,1017.603733,1017.314398
28,1022.463799,1022.42522,1022.37269,1022.306639,1022.227474,1022.135579,1022.031321,1021.915047,1021.787084,1021.647743,1021.497316,1021.336081,1021.164299,1020.982217,1020.790067,1020.588071,1020.376436,1020.155357,1019.925021,1019.685602,1019.437268,1019.180177,1018.914478,1018.640316,1018.357829,1018.067148
29,1023.269979,1023.228191,1023.172574,1023.103553,1023.021529,1022.926884,1022.81998,1022.701157,1022.570741,1022.429038,1022.276336,1022.112909,1021.939015,1021.754897,1021.560785,1021.356895,1021.143434,1020.920592,1020.688555,1020.447493,1020.197571,1019.938946,1019.671764,1019.396168,1019.112292,1018.820269
30,1024.076327,1024.031345,1023.972655,1023.900677,1023.815808,1023.718424,1023.608884,1023.487525,1023.354667,1023.210611,1023.055644,1022.890034,1022.714037,1022.527892,1022.331825,1022.12605,1021.910769,1021.686172,1021.452439,1021.20974,1020.958236,1020.698081,1020.42942,1020.152393,1019.867134,1019.57377
Density in kg cm-3,,,,,,,,,,,,,,,,,,,,,,,,,,
